provided_interaction_type_label	provided_interaction_type_id	mapped_to_interaction_type_label	mapped_to_interaction_type_id			
Ecology. The species was collected in localities BH 023 and BH 025 together with Exocelina polita in ratios 1						
Ecology. The species of the present genus are all obligate associates of sea anemones (Cnidaria						
E and C Amazonian Brazil						
DOC						
Disturbed roadside						
Deschampsia flexuosa						
D. (2013). Loa loa						
C.sulphurina (Michaux) Fr. TLCMN960 +961						
cortejo y copula						
Cornus stolonifera - Ribes glandulosum - Calamagrostis canadensis scrubland.  Assoc. sp.						
coniferous forest						
Community type						
CN						
Cladonia pyxidata (L.) Hoffm.  TLCMN711						
Cladonia fimbriata TLC MN1060						
Cladonia coniocraea  TLCMN1055						
Chemistry						
Chem.						
Carex aquatilis and Eleocharis sp. Assoc sp.						
California						
Calamagrostis canadensis community around springs.  Assoc. sp.						
Bouteloua hirsuta/Buchloe dactyloides						
Bouteloua gracilis/Buchloe dactyloides/Panicum obutusum						
Borowski 2007) is a subsequent incorrect spelling of this taxon (cf. Borowski 2013						
Biol. Bull. 1						
berries and grains.<br/><br/>File						
A. W. 1991. Assessment of the risks from tropical deforestation to Canadian songbirds. Trans. NA Wildl. Nat. Res. Conf. 56						
as well as due to overhunting.Common Pochard (Aythya ferina) in Armenia. 2017. In online publication						
Visitado		visited by	http://purl.obolibrary.org/obo/RO_0002619			
Visitador		visits	http://purl.obolibrary.org/obo/RO_0002618			
Fruto visitado		visits	http://purl.obolibrary.org/obo/RO_0002618			
as Schistoceros bimaculatus). Its aedeagus was figured by Iablokoff-Khnzorian (1976						
and Riccocarpus natans. Minor amounts						
and Populus tremuloides saplings. Mature P. tremuloides and Picea glauca saplings rare. Ground cover						
Amazonia						
alimentacion adulto						
Abundance						
Abies lasiocarpa community.  Understorey species						
Abies balsamea.  Other trees						
Abielas community.  Dominant understorey species						
5 m über Grund						
1996. Seed planted						
1958						
на зарастающей почве (в сторону заросшего						
на голом камне. (Kivi pinnal (kõrgus						
Z. 2013. Sand martins favour loess						
Xylographa parallela (Ach.						
VINE						
Venezuela						
Veg. type						
usual plant size						
undergrowth						
Type						
TREE						
TLC MN903						
TLCMN1116						
TLCMN1110						
thin section/acetate peel (multi-specimen)						
suggesting that the state may harbor over 500000 acre of such old-growth forests. Quercus douglasii is not susceptible to the fungal disease known as sudden oak death.https						
Spruce and deciduous forest. Associated species						
Sporobolus cryptandrus Community						
Spier & V. Wirth (TLC1323-4						
Spier & V. Wirth (TLC1323-3						
Spier & V. Wirth (TLC1323-2						
since it was described as Bostrichus bimaculatus from  Provence  (southern France) (Olivier 1790						
shaded granite boulder. Assoc. spp.						
Seri Indian name						
Seed collected						
Salix lutea Community						
Salix irrorata Community type						
Salix irrorata Community						
Ruso-orvakka(EMJ						
(Reduvidae						
range of variability (in square brackets) in mm. TotL						
Rahkalahokka ja Clitocype sp.(EMJ						
puparium						
<p style=margin						
Pseudotsuga menziesii Community						
ProL						
<p>Roedor silvetre - rato do arroz</p><p>Família Cricetidae</p><p>Tribo						
<p>Ordem						
Populus angustifolia Community						
Poa pratensis Community type						
Visitante de flor		visits flower of	http://purl.obolibrary.org/obo/RO_0002622		assuming the target is the plant	
Pinyon-Juniper. Plants						
Pingue-Blue grama. Distribution						
Picea pungens Community						
Picea mariana/ Larix laricina/ Picea glauca/ Salix spp. bog.  % cover						
Pertusaria dactylina (Ach.) Nyl. Chem.						
Paulian 1988						
Parasitando Araña						
Parasitada por avispa						
overgrowth						
other companion plants						
on a living trunk						
off trail plant community is						
NW South America west of the Andes						
Netherlands File						
Native grassland occurring in association with						
Most common						
Michigan.CRW						
Matrix						
Manyanthes-Carex rostrata-Eriophorum angustifolium-Myrica gale-Juniperus communis/Rhynchospora alba-Carex livida-Scirpus caespitosus/Sphagnum papillosum-S. rubellum						
LOW TREE & TALL SHRUB						
LOW TREE						
Lower Sonoran life zone						
Locally common in pinon-juniper woodland						
Lavers JL (2013) Effectiveness of emetics to study plastic ingestion by Leach’s Storm-petrels (Oceanodroma leucorhoa). Marine Pollution Bulletin 70						
kivil (kõrgus						
Kaydan et al. 2012). Figures 40 - 47. Morphological details and male genitalia of Chilocorini species. 40 - 43 E. gebleri						
its known phenology is broken down by region. Central America						
in the company of many other sand dwelling sponges such as Ciocalypta and Polymastia (cf. Van Soest 1993						
in large clumps with bryophytes. Assoc. spp.						
Hypholoma sp. ja Clitocype sp(EMJ						
Hodek and Honek 2009). Figures 14 - 20. Morphological details and male genitalia of Chilocorini species. 14 - 20 Chilocorus bipustulatus						
Hemiptera						
Headslope in Piedmont Rock type						
hawking for insects.<br/><br/>File						
Haussmann et al. Haussmann M. F. et al. (2003)						
Hartsikääpä(EMJ						
(Gunnerus)						
Guianas						
Gentianella amarella. Assoc						
galleta. Vegetation type						
& Fouquieria. Unusual species include						
Fouquieria. Unusual species						
flying freely in the morning hours and flushed out from their resting places with a bee-smoker. The species occurs in rocky habitat on calcareous soil. Vertical distribution						
flying freely in the morning hours and flushed out from their resting places with a bee-smoker. The species occurs in alpine grassland interspersed with calcareous rocks. Vertical distribution						
featuring a generalised pollination syndrome.<br/><br/>Image						
fallen						
ElyW						
Ed.). Ithaca						
Ecology. This species feeds on the mealybugs Phenacoccus aceris and Planococcus citri (Pseudococcidae) (Moddarres-Awal 2012). Figures 32 - 39. Morphological details and male genitalia of Chilocorini species 32 - 34 E. quadripustulatus						
Ecology. The species was collected in two localities on Nok Mountain together with Exocelina evelyncheesmanae and Exocelina waigeoensis and in one locality together with Exocelina evelyncheesmanae in ration ca. 1						
Ecology. The Afrotropical species of Blepharida are generally associated with shrubs of Rhus (Anacardiaceae) (Furth and Young 1988						
Ecology. Polyphagous (cf. Jolivet and Hawkeswood 1995). There is no ecological information on this genus for the Afrotropical region. Luperomorpha biondii Doeberl (2012						
Ecology. Philopona usambarica Csiki (in Heikertinger and Csiki 1940						
Ecology in Vietnam. Quercus bella was found on the slopes in evergreen forests in Ba Vi National Park						
Disturbed cattle tank area						
depending on altitude and snow coverage. Bred specimens date from mid to late July. Kessleria orobiae occurs in rocky habitat both on calcareous and silicous soil. Vertical distribution						
Companion plants						
but the species probably feeds on an unidentified broad-leaved Saxifraga species growing on steep rocks. The adults have been collected in the last third of July from light. The species occurs in rocky habitat on calcareous soil. Vertical distribution						
but the herbaceous texture suggests that it is deciduous. Figure 1. Selliguea kachinensis. A habit B detail showing venation pattern. After Kine et al. 14 - 047 - 022 (L). Drawing by Esmee Winkel. Figure 2. Selliguea kachinensis - Distribution. Figure 3. Habitat of Selliguea kachinensis						
Branch						
Bouteloua gracilis/Bouteloua hirsuta						
Bouteloua gracilis/Bothriochloa laguroides						
Boteloua gracilis. Vegetation type						
BLAST						
Bikasha tenuipunctata Maulik and Bikasha fortipunctata Maulik (1931						
beneath the exposed top. Expos						
Bemisia tabaci (Aleyrodidae) (Moddarres-Awal 2012). Figures 48 - 55. Morphological details and male genitalia of Chilocorini species. 48 - 50 P. nigripennis						
auf dem Neuschlag -märkus						
Flor visitada		visits flower of	http://purl.obolibrary.org/obo/RO_0002622		assuming the target is the plant	
Visits flowers of		visits flowers of	http://purl.obolibrary.org/obo/RO_0002622			
as Cercyonia quadrinotata Bryant 1936						
A number of species of butterflies and moths feed on strawberry plants						
and the emperor penguin.CephBase						
and Ribes montigenum Assoc						
and Fragaria virgiiana Assoc						
and for mentoring me. The spelling ' maccoshiana' follows recommendation 60 C. 5. a of the International Code of Botanical Nomenclature (Vienna Code McNeil et al. 2006). Conservation status. Surveys in 2010 revealed about 60 plants in four sites (see supplementary file 1						
and B. Saisorn. 1983. Effect of logging on songbird populations in a northern hardwood forest. Wildl. Monogr. 55						
and Bikasha minor Maulik (1931						
and Astragalus alpinus. Assoc						
Amphimela citri (Bryant 1922						
Amongst						
~50% vegetation cover dominated by dryas. Associates						
42 Tegmen in ventral and lateral view 43 Penis apex 44 - 47 P. pubescens						
40 см высоты). На сильно выветренной корке камня. ( Ida eksp. kivi vertikaalne külg (laius						
33 Tegmen in ventral and lateral view 34 Penis apex 35 - 36 E. undulatus						
2015. The left side of Nam Khan ca. 18 km SE of Muang Xiang Ngeun. The red dot indicates the approximate place where the specimens were collected. Photo						
1864 (cf. Van Soest 1993						
